transactionid,userid,time,amount,state,city,country,tran_lat,tran_lon,merchantType,isFraud
1,1,2025-09-02 08:00:00,396.32,,,,41.863462,-87.633417,,False
2,1,2025-09-06 02:00:00,346.89,,,,41.915891,-87.613483,,False
3,1,2025-09-08 20:00:00,457.17,,,,41.887163,-87.583082,,False
4,1,2025-09-10 02:00:00,180.83,,,,41.920441,-87.634302,,False
5,1,2025-09-12 13:00:00,452.09,,,,41.904908,-87.663321,,False
6,1,2025-09-16 02:00:00,478.41,,,,41.882314,-87.627032,,False
7,1,2025-09-17 08:00:00,186.67,,,,41.866887,-87.643241,,False
8,1,2025-09-18 17:00:00,25.17,,,,41.897187,-87.585933,,False
9,1,2025-09-22 12:00:00,17.02,,,,41.912421,-87.620457,,False
10,1,2025-09-25 03:00:00,12.01,,,,41.90253,-87.649814,,False
11,1,2025-09-27 12:00:00,33.47,,,,41.904926,-87.62709,,False
12,1,2025-09-28 15:00:00,291.11,,,,41.860441,-87.657462,,False
13,1,2025-09-29 16:00:00,170.13,,,,41.905016,-87.583509,,False
14,1,2025-10-01 11:00:00,299.62,,,,41.886712,-87.608458,,False
15,1,2025-10-02 03:00:00,226.88,,,,41.878021,-87.593048,,True
16,1,2025-10-02 04:38:00,324.2,,,,41.86934,-87.610807,,True
17,1,2025-10-02 06:02:00,438.44,,,,41.917155,-87.586653,,False
18,1,2025-10-03 08:02:00,233.98,,,,41.849262,-87.671156,,False
19,1,2025-10-07 00:02:00,68.6,,,,41.919322,-87.653471,,False
20,1,2025-10-09 02:02:00,387.6,,,,41.879817,-87.610821,,True
21,2,2025-09-02 08:00:00,128.56,,,,25.79579,-80.173551,,False
22,2,2025-09-06 01:00:00,49.4,,,,25.797702,-80.184512,,False
23,2,2025-09-06 15:00:00,131.99,,,,25.761037,-80.169651,,False
24,2,2025-09-10 05:00:00,467.25,,,,25.785706,-80.224381,,False
25,2,2025-09-13 14:00:00,20.68,,,,25.777878,-80.168737,,False
26,2,2025-09-17 08:00:00,461.0,,,,25.764546,-80.1883,,False
27,2,2025-09-18 10:00:00,338.46,,,,25.72751,-80.204709,,False
28,2,2025-09-19 11:00:00,359.98,,,,25.809818,-80.149759,,False
29,2,2025-09-23 08:00:00,89.83,,,,25.773765,-80.20449,,False
30,2,2025-09-24 10:00:00,121.11,,,,25.804649,-80.223019,,True
31,2,2025-09-24 11:54:00,442.72,,,,25.809418,-80.20503,,True
32,2,2025-09-24 12:59:00,287.02,,,,25.775024,-80.219064,,True
33,2,2025-09-24 14:58:00,172.18,,,,25.718552,-80.208762,,False
34,2,2025-09-27 16:58:00,490.4,,,,25.7773,-80.220563,,False
35,2,2025-09-29 12:58:00,406.48,,,,25.767561,-80.201721,,False
36,2,2025-10-02 02:58:00,168.91,,,,25.786281,-80.172772,,False
37,2,2025-10-05 01:58:00,339.21,,,,25.791698,-80.153107,,False
38,2,2025-10-05 21:58:00,267.61,,,,25.752591,-80.182591,,False
39,2,2025-10-06 22:58:00,491.22,,,,25.797914,-80.198932,,False
40,2,2025-10-09 15:58:00,204.43,,,,25.795047,-80.179496,,False
41,3,2025-09-02 08:00:00,343.98,,,,37.755342,-122.467582,,False
42,3,2025-09-05 01:00:00,74.75,,,,37.805275,-122.453358,,False
43,3,2025-09-08 03:00:00,94.63,,,,37.793317,-122.40337,,True
44,3,2025-09-08 03:43:00,39.5,,,,37.781356,-122.447663,,True
45,3,2025-09-08 04:41:00,322.84,,,,37.816244,-122.393334,,True
46,3,2025-09-08 06:11:00,269.93,,,,37.822703,-122.401061,,False
47,3,2025-09-10 10:11:00,354.88,,,,37.751839,-122.422225,,False
48,3,2025-09-12 23:11:00,442.94,,,,37.810903,-122.395233,,False
49,3,2025-09-15 15:11:00,433.0,,,,37.771434,-122.369483,,False
50,3,2025-09-16 01:11:00,358.78,,,,37.789393,-122.40125,,False
51,3,2025-09-20 01:11:00,129.91,,,,37.743987,-122.42656,,False
52,3,2025-09-23 06:11:00,348.14,,,,37.748948,-122.372617,,False
53,3,2025-09-23 23:11:00,149.31,,,,37.802464,-122.454763,,False
54,3,2025-09-27 04:11:00,135.45,,,,37.823794,-122.441872,,False
55,3,2025-09-29 15:11:00,142.85,,,,37.813004,-122.441851,,False
56,3,2025-09-30 12:11:00,161.53,,,,37.730314,-122.407418,,True
57,3,2025-09-30 13:08:00,459.53,,,,37.72964,-122.465942,,True
58,3,2025-09-30 13:28:00,352.35,,,,37.733406,-122.430583,,True
59,3,2025-09-30 14:26:00,429.3,,,,37.757639,-122.370404,,True
60,3,2025-09-30 16:43:00,224.46,,,,37.785948,-122.445068,,True
61,4,2025-09-02 08:00:00,360.56,,,,25.739534,-80.173544,,False
62,4,2025-09-03 08:00:00,399.1,,,,25.747714,-80.170366,,True
63,4,2025-09-03 08:20:00,220.03,,,,25.722441,-80.170355,,True
64,4,2025-09-03 09:05:00,220.02,,,,25.742423,-80.142324,,True
65,4,2025-09-03 11:19:00,65.96,,,,25.713954,-80.17058,,True
66,4,2025-09-03 12:53:00,359.85,,,,25.792784,-80.189091,,True
67,4,2025-09-03 15:28:00,384.26,,,,25.798133,-80.237244,,False
68,4,2025-09-04 09:28:00,209.64,,,,25.808886,-80.196462,,False
69,4,2025-09-07 22:28:00,294.49,,,,25.731171,-80.207214,,False
70,4,2025-09-08 11:28:00,467.23,,,,25.756262,-80.217708,,False
71,4,2025-09-11 05:28:00,288.17,,,,25.770485,-80.233841,,False
72,4,2025-09-15 04:28:00,24.49,,,,25.751742,-80.150561,,False
73,4,2025-09-15 17:28:00,474.89,,,,25.769701,-80.236699,,False
74,4,2025-09-18 17:28:00,460.67,,,,25.726412,-80.20224,,False
75,4,2025-09-22 06:28:00,17.73,,,,25.798895,-80.199724,,False
76,4,2025-09-26 07:28:00,163.44,,,,25.791577,-80.146944,,True
77,4,2025-09-26 09:55:00,163.09,,,,25.733353,-80.211806,,True
78,4,2025-09-26 11:15:00,32.64,,,,25.758195,-80.234472,,True
79,4,2025-09-26 11:35:00,302.71,,,,25.775634,-80.175255,,False
80,4,2025-09-27 02:35:00,105.28,,,,25.745499,-80.156187,,False
81,5,2025-09-02 08:00:00,457.46,,,,42.38945,-71.047805,,False
82,5,2025-09-02 20:00:00,382.78,,,,42.322942,-71.020609,,False
83,5,2025-09-03 00:00:00,147.17,,,,42.393467,-71.100213,,False
84,5,2025-09-05 10:00:00,18.27,,,,42.407994,-71.06365,,True
